,status,reference,instansi
1309,no,pemkab aceh timur,pemerintah provinsi nanggroe aceh darusalam
1310,no,pemkab aceh barat daya,pemerintah provinsi nanggroe aceh darusalam
1311,no,pemerintah kabupaten aceh barat daya,pemerintah provinsi nanggroe aceh darusalam
1312,no,pemkab aceh singkil,pemerintah provinsi nanggroe aceh darusalam
1313,no,pemerintah kabupaten aceh singkil,pemerintah provinsi nanggroe aceh darusalam
1314,no,pemkab aceh selatan,pemerintah provinsi nanggroe aceh darusalam
1315,no,pemerintah kabupaten aceh selatan,pemerintah provinsi nanggroe aceh darusalam
1316,no,pemerintah kabupaten aceh tamiang,pemerintah provinsi nanggroe aceh darusalam
1317,no,pemerintah kabupaten aceh barat,pemerintah provinsi nanggroe aceh darusalam
1318,no,pemkab aceh barat,pemerintah provinsi nanggroe aceh darusalam
1319,no,pemkot banda aceh,pemerintah provinsi nanggroe aceh darusalam
1320,no,pemerintah kota banda aceh,pemerintah provinsi nanggroe aceh darusalam
1321,no,pemkab aceh besar,pemerintah provinsi nanggroe aceh darusalam
1322,no,pemerintah kabupaten aceh besar,pemerintah provinsi nanggroe aceh darusalam
1323,yes,pemprov ntb,pemerintah provinsi nusa tenggara barat
1324,no,pemprov nusa tenggara timur,pemerintah provinsi nusa tenggara barat
1325,yes,pemerintah provinsi ntb,pemerintah provinsi nusa tenggara barat
1326,no,pemerintah provinsi nusa tenggara timur,pemerintah provinsi nusa tenggara barat
1327,yes,pemprov nusa tenggara barat,pemerintah provinsi nusa tenggara barat
1328,no,pemprov nusa tenggara barat,pemerintah provinsi nusa tenggara timur
1329,no,pemerintah provinsi nusa tenggara barat,pemerintah provinsi nusa tenggara timur
1330,yes,pemerintah provinsi ntt,pemerintah provinsi nusa tenggara timur
1331,yes,pemprov ntt,pemerintah provinsi nusa tenggara timur
1332,yes,pemprov nusa tenggara timur,pemerintah provinsi nusa tenggara timur
1333,no,pemerintah provinsi papua barat,pemerintah provinsi papua
1334,no,pemprov papua barat,pemerintah provinsi papua
1335,yes,pemprov papua,pemerintah provinsi papua
1336,yes,perusahaan umum damri,perum damri
1337,yes,perum damri uabk bandung,perum damri
1338,no,perum bulog,perum damri
1339,no,perum peruri,perum damri
1340,yes,pt jamkrindo,pt jaminan kredit indonesia jamkrindo
1341,yes,pt jamkrindo cabang bandung,pt jaminan kredit indonesia jamkrindo
1342,no,pt asuransi kredit indonesia persero,pt jaminan kredit indonesia jamkrindo
1343,no,pt kredit pintar indonesia,pt jaminan kredit indonesia jamkrindo
1344,yes,jasa tirta,perum jasa tirta i
1345,yes,jasa tirta i,perum jasa tirta i
1346,no,jasa tirta ii,perum jasa tirta i
1347,no,jasa tirta 2,perum jasa tirta i
1348,yes,lembaga kantor berita nasional antara biro jawa barat,perum lembaga kantor berita nasional antara lkbn antara
1349,yes,perum lkbn antara,perum lembaga kantor berita nasional antara lkbn antara
1350,no,perum pembangunan perumahan nasional perumnas,perum lembaga kantor berita nasional antara lkbn antara
1351,no,kantor perum damri,perum lembaga kantor berita nasional antara lkbn antara
1352,yes,perusahaan umum pembangunan perumahan nasional,perum pembangunan perumahan nasional perumnas
1353,yes,perum perumnas,perum pembangunan perumahan nasional perumnas
1354,no,perum lembaga kantor berita nasional antara lkbn antara,perum pembangunan perumahan nasional perumnas
1355,no,konsumen perumahan nasional,perum pembangunan perumahan nasional perumnas
1356,yes,perum peruri,perum percetakan uang republik indonesia peruri
1357,yes,peruri,perum percetakan uang republik indonesia peruri
1358,no,perum percetakan negara republik indonesia pnri,perum percetakan uang republik indonesia peruri
1359,no,perum perikanan indonesia,perum percetakan uang republik indonesia peruri
1360,yes,perum pfn,perum produksi film negara pfn
1361,yes,perusahaan umum produksi film negara,perum produksi film negara pfn
1362,no,perum kehutanan negara perhutani,perum produksi film negara pfn
1363,no,perum percetakan negara republik indonesia pnri,perum produksi film negara pfn
1364,yes,pt adhi karya,pt adhi karya persero tbk
1365,yes,adhi karya,pt adhi karya persero tbk
1366,no,pt amarta karya persero,pt adhi karya persero tbk
1367,no,pt karya solusi prima sejahtera,pt adhi karya persero tbk
1368,yes,pt amka,pt amarta karya persero
1369,yes,amarta karya,pt amarta karya persero
1370,no,pt adhi karya persero,pt amarta karya persero
1371,no,pt karya solusi prima sejahtera,pt amarta karya persero
1372,yes,angkasa pura,pt angkasa pura i persero
1373,yes,ap1,pt angkasa pura i persero
1374,no,angkasa pura ii,pt angkasa pura i persero
1375,no,angkasa pura 2,pt angkasa pura i persero
1376,yes,angkasa pura 2,pt angkasa pura ii persero
1377,yes,ap2,pt angkasa pura ii persero
1378,no,angkasa pura,pt angkasa pura ii persero
1379,no,pt angkasa pura,pt angkasa pura ii persero
1380,yes,pt asabri persero,pt asabri
1381,yes,perseta asabri pensiunan polri,pt asabri
1382,no,pt amarta karya persero,pt asabri
1383,no,pt asahimas flat glass,pt asabri
1384,yes,pt asdp ferry indonesia,pt asdp indonesia ferry persero
1385,yes,asdp,pt asdp indonesia ferry persero
1386,no,pt asuransi jasa indonesia persero,pt asdp indonesia ferry persero
1387,no,pt ferry sonneville,pt asdp indonesia ferry persero
1388,yes,asuransi jasindo,pt asuransi jasa indonesia persero
1389,yes,asuransi jasa indonesia,pt asuransi jasa indonesia persero
1390,no,pt asuransi jasa raharja persero,pt asuransi jasa indonesia persero
1391,no,pt asuransi jiwasraya persero,pt asuransi jasa indonesia persero
1392,yes,asuransi jiwasraya,pt asuransi jiwasraya persero
1393,yes,jiwasraya,pt asuransi jiwasraya persero
1394,no,pt asuransi jasa indonesia persero,pt asuransi jiwasraya persero
1395,no,pt asuransi kredit indonesia persero,pt asuransi jiwasraya persero
1396,yes,askrindo,pt asuransi kredit indonesia persero
1397,yes,pt askrindo,pt asuransi kredit indonesia persero
1398,no,pt asuransi jasa indonesia persero,pt asuransi kredit indonesia persero
1399,no,pt asuransi jiwasraya persero,pt asuransi kredit indonesia persero
1400,yes,indonesia financial group ifg,pt bahana pembinaan usaha indonesia persero
1401,yes,bpui,pt bahana pembinaan usaha indonesia persero
1402,no,pt bahana sekuritas,pt bahana pembinaan usaha indonesia persero
1403,no,pt bahana selaras,pt bahana pembinaan usaha indonesia persero
1404,yes,bank mandiri,pt bank mandiri persero tbk
1405,yes,bank mandiri cihampelas,pt bank mandiri persero tbk
1406,no,pt sentral utama teknikal mandiri,pt bank mandiri persero tbk
1407,no,pt bank central asia tbk,pt bank mandiri persero tbk
1408,yes,bank bni kantor cabang karawang,pt bank negara indonesia persero tbk bni
1409,yes,bni 46,pt bank negara indonesia persero tbk bni
1410,no,bank rakyat indonesia,pt bank negara indonesia persero tbk bni
1411,no,bank tabungan negara,pt bank negara indonesia persero tbk bni
1412,yes,bank rakyat indonesia cabang sintang,pt bank rakyat indonesia persero tbk bri
1413,yes,bank bri unit prambanan,pt bank rakyat indonesia persero tbk bri
1414,no,bank negara indonesia,pt bank rakyat indonesia persero tbk bri
1415,no,bank indonesia,pt bank rakyat indonesia persero tbk bri
1416,yes,bank btn jayapura,pt bank tabungan negara persero btn
1417,yes,btn pluit,pt bank tabungan negara persero btn
1418,no,bank negara indonesia,pt bank tabungan negara persero btn
1419,no,pt bank tabungan pensiunan nasional,pt bank tabungan negara persero btn
1420,yes,barata indonesia,pt barata indonesia persero
1421,yes,pt barata indonesia,pt barata indonesia persero
1422,no,pt bank rakyat indonesia,pt barata indonesia persero
1423,no,pt barata guna perkasa,pt barata indonesia persero
1424,yes,berdikari,pt berdikari persero
1425,yes,pt berdikari,pt berdikari persero
1426,no,pt bio farma,pt berdikari persero
1427,no,pt bersama zatta jaya,pt berdikari persero
1428,yes,pt bgr logistik indonesia,pt bhanda ghara reksa persero
1429,yes,bgr,pt bhanda ghara reksa persero
1430,no,pt danareksa persero,pt bhanda ghara reksa persero
1431,no,pt bhakti multi artha tbk,pt bhanda ghara reksa persero
1432,yes,bina karya,pt bina karya persero
1433,yes,bina karya persero,pt bina karya persero
1434,no,smk s swa bina karya,pt bina karya persero
1435,no,pt bina karya prima,pt bina karya persero
1436,yes,pt bio farma bandung,pt bio farma
1437,yes,bio farma,pt bio farma
1438,no,pt kimia farma,pt bio farma
1439,no,pt farma sevaka nusantara,pt bio farma
1440,yes,bki,pt biro klasifikasi indonesia persero
1441,yes,pt biro klasifikasi indonesia persero cabang cirebon,pt biro klasifikasi indonesia persero
1442,no,biro perencanaan dpr ri,pt biro klasifikasi indonesia persero
1443,no,pt biro teknik sinar baru,pt biro klasifikasi indonesia persero
1444,yes,bbi,pt boma bisma indra persero
1445,yes,pt boma bisma indra persero cabang jakarta,pt boma bisma indra persero
1446,no,pt boma tirta prima,pt boma bisma indra persero
1447,no,pt bisma putra persada,pt boma bisma indra persero
1448,yes,ptdi,pt dirgantara indonesia persero
1449,yes,pt dirgantara indonesia,pt dirgantara indonesia persero
1450,no,pt dirgantara yudha artha,pt dirgantara indonesia persero
1451,no,pt garuda indonesia,pt dirgantara indonesia persero
1452,yes,garuda indonesia,pt garuda indonesia persero tbk
1453,yes,pt garuda indonesia,pt garuda indonesia persero tbk
1454,no,pt garuda metalindo,pt garuda indonesia persero tbk
1455,no,pt garuda mart indonesia,pt garuda indonesia persero tbk
1456,yes,emipersero,pt energy management indonesia
1457,yes,pt emi,pt energy management indonesia
1458,no,indonesia energy corporation,pt energy management indonesia
1459,no,pt indika energy,pt energy management indonesia
1460,yes,garam,pt garam
1461,yes,pt garam persero,pt garam
1462,no,pt gudang garam tbk,pt garam
1463,no,pt garam nusantara lestari,pt garam
1464,yes,hutama karya,pt hutama karya persero
1465,yes,hk,pt hutama karya persero
1466,no,pt karya utamaputra mandiri,pt hutama karya persero
1467,no,pt karya putra nusantara perkasa,pt hutama karya persero
1468,yes,indah karya,pt indah karya persero
1469,yes,pt indah karya,pt indah karya persero
1470,no,pt indra karya persero,pt indah karya persero
1471,no,pt hutama karya,pt indah karya persero
1472,yes,pt inalum,pt indonesia asahan alumunium inalum
1473,yes,pt indonesia asahan aluminium persero,pt indonesia asahan alumunium inalum
1474,no,pt daiki aluminium industry indonesia,pt indonesia asahan alumunium inalum
1475,no,pt aluminium karya abadi,pt indonesia asahan alumunium inalum
1476,yes,indra karya,pt indra karya persero
1477,yes,pt indra karya,pt indra karya persero
1478,no,pt indah karya persero,pt indra karya persero
1479,no,pt hutama karya persero,pt indra karya persero
1480,yes,pt iki persero,pt industri kapal indonesia persero
1481,yes,industri kapal indonesia,pt industri kapal indonesia persero
1482,no,pt industri kereta api persero,pt industri kapal indonesia persero
1483,no,pt industri nuklir indonesia persero,pt industri kapal indonesia persero
1484,yes,pt inuki persero,pt industri nuklir indonesia persero
1485,yes,industri nuklir indonesia,pt industri nuklir indonesia persero
1486,no,pt industri kapal indonesia persero,pt industri nuklir indonesia persero
1487,no,pt industri baterai indonesia,pt industri nuklir indonesia persero
1488,yes,pt isn persero,pt industri sandang nusantara persero
1489,yes,industri sandang nusantara,pt industri sandang nusantara persero
1490,no,pt bio industri nusantara,pt industri sandang nusantara persero
1491,no,pt industri nusantara sejahtera abadi,pt industri sandang nusantara persero
1492,yes,pt inti persero,pt industri telekomunikasi indonesia persero
1493,yes,inti,pt industri telekomunikasi indonesia persero
1494,no,pt industri nuklir indonesia persero,pt industri telekomunikasi indonesia persero
1495,no,pt industri kapal indonesia persero,pt industri telekomunikasi indonesia persero
1496,yes,istaka karya,pt istaka karya persero
1497,yes,pt istaka karya,pt istaka karya persero
1498,no,pt indra karya persero,pt istaka karya persero
1499,no,pt indah karya persero,pt istaka karya persero
1500,yes,jasa marga,pt jasa marga persero tbk
1501,yes,pt jasa marga cabang purbaleunyi,pt jasa marga persero tbk
1502,no,pt jasa raharja persero,pt jasa marga persero tbk
1503,no,pt jasa sarana,pt jasa marga persero tbk
1504,yes,pt kiw,pt kawasan industri wijayakusuma persero
1505,yes,kawasan industri wijayakusuma,pt kawasan industri wijayakusuma persero
1506,no,pt kawasan berikat nusantara persero,pt kawasan industri wijayakusuma persero
1507,no,pt industri telekomunikasi indonesia,pt kawasan industri wijayakusuma persero
1508,yes,pt kbi,pt kliring berjangka indonesia persero
1509,yes,kliring berjangka indonesia,pt kliring berjangka indonesia persero
1510,no,pt solid gold berjangka,pt kliring berjangka indonesia persero
1511,no,pt kliring penjaminan efek indonesia,pt kliring berjangka indonesia persero
1512,yes,krakatau steel,pt krakatau steel persero tbk
1513,yes,pt krakatau steel,pt krakatau steel persero tbk
1514,no,pt steel pipe industry of indonesia tbk,pt krakatau steel persero tbk
1515,no,pt steel center indonesia,pt krakatau steel persero tbk
1516,yes,len industri,pt len industri persero
1517,yes,len,pt len industri persero
1518,no,pt industri kapal indonesia persero,pt len industri persero
1519,no,pt lentera dana nusantara,pt len industri persero
1520,yes,pal indonesia,pt pal indonesia persero
1521,yes,pt pal,pt pal indonesia persero
1522,no,pt kliring berjangka indonesia persero,pt pal indonesia persero
1523,no,pt palma serasih,pt pal indonesia persero
1524,yes,pt pann,pt pann pembiayaan maritim persero
1525,yes,pann pembiayaan maritim,pt pann pembiayaan maritim persero
1526,no,pt maritim barito perkasa,pt pann pembiayaan maritim persero
1527,no,pt pembiayaan digital indonesia,pt pann pembiayaan maritim persero
1528,yes,pelindo ii,pt pelabuhan indonesia ii persero
1529,yes,pelabuhan indonesia ii,pt pelabuhan indonesia ii persero
1530,no,pelabuhan indonesia,pt pelabuhan indonesia ii persero
1531,no,pelindo,pt pelabuhan indonesia ii persero
1532,yes,pelabuhan indonesia iv,pt pelabuhan indonesia iv persero
1533,yes,pelindo iv,pt pelabuhan indonesia iv persero
1534,no,pt pelabuhan indonesia i,pt pelabuhan indonesia iv persero
1535,no,pelindo,pt pelabuhan indonesia iv persero
1536,yes,pt balai pustaka,pt penerbitan dan percetakan balai pustaka persero
1537,yes,balai pustaka,pt penerbitan dan percetakan balai pustaka persero
1538,no,penerbit dan percetakan mediatama,pt penerbitan dan percetakan balai pustaka persero
1539,no,pt percetakan gramedia cikarang,pt penerbitan dan percetakan balai pustaka persero
1540,yes,itdc,pt pengembangan pariwisata indonesia persero
1541,yes,pengembangan pariwisata indonesia,pt pengembangan pariwisata indonesia persero
1542,no,kementerian pariwisata dan ekonomi kreatif republik indonesia,pt pengembangan pariwisata indonesia persero
1543,no,pt pengembangan investasi riau,pt pengembangan pariwisata indonesia persero
1544,yes,pt pdi batam,pt pengusahaan daerah industri pulau batam persero
1545,yes,pt persero batam,pt pengusahaan daerah industri pulau batam persero
1546,no,pemerintah kota batam,pt pengusahaan daerah industri pulau batam persero
1547,no,pt kawasan industri jababeka tbk,pt pengusahaan daerah industri pulau batam persero
1548,yes,pt pii,pt penjaminan infrastruktur indonesia persero
1549,yes,pt pii persero,pt penjaminan infrastruktur indonesia persero
1550,no,pt penjaminan jamkrindo syariah,pt penjaminan infrastruktur indonesia persero
1551,no,pt infrastruktur bisnis sejahtera,pt penjaminan infrastruktur indonesia persero
1552,yes,pt perinus,pt perikanan nusantara
1553,yes,pt perinus persero,pt perikanan nusantara
1554,no,pt perkebunan nusantara iii,pt perikanan nusantara
1555,no,pt nusantara compnet integrator,pt perikanan nusantara
1556,yes,pt perkebunan nusantara iii persero,pt perkebunan nusantara iii
1557,yes,ptpn iii,pt perkebunan nusantara iii
1558,no,pt perkebunan nusantara iv,pt perkebunan nusantara iii
1559,no,pt perikanan nusantara,pt perkebunan nusantara iii
1560,yes,pt pnm,pt permodalan nasional madani persero
1561,yes,pt pnm persero,pt permodalan nasional madani persero
1562,no,pemodalan nasional berhad,pt permodalan nasional madani persero
1563,no,pt media solusi internasional,pt permodalan nasional madani persero
1564,yes,pertamina,pt pertamina persero
1565,yes,pt pertamina,pt pertamina persero
1566,no,pt pertani,pt pertamina persero
1567,no,pertamini,pt pertamina persero
1568,yes,pgn,pt perusahaan gas negara persero tbk
1569,yes,perusahaan gas negara,pt perusahaan gas negara persero tbk
1570,no,pt perusahaan listrik negara persero pln,pt perusahaan gas negara persero tbk
1571,no,pt pertamina gas negara tbk,pt perusahaan gas negara persero tbk
1572,yes,pln,pt perusahaan listrik negara persero pln
1573,yes,perusahaan listrik negara,pt perusahaan listrik negara persero pln
1574,no,pt perusahaan gas negara persero tbk,pt perusahaan listrik negara persero pln
1575,no,pt perusahaan pengelola aset persero,pt perusahaan listrik negara persero pln
1576,yes,pindad,pt pindad persero
1577,yes,pt pindad,pt pindad persero
1578,no,pt pal,pt pindad persero
1579,no,pt pinus merah abadi,pt pindad persero
1580,yes,pos indonesia,pt pos indonesia persero
1581,yes,pt pos indonesia kc cirebon,pt pos indonesia persero
1582,no,pt pos properti indonesia,pt pos indonesia persero
1583,no,pt posco indonesia,pt pos indonesia persero
1584,yes,pupuk indonesia,pt pupuk indonesia holding company
1585,yes,pt pupuk indonesia persero,pt pupuk indonesia holding company
1586,no,distributor pupuk bersubsidi,pt pupuk indonesia holding company
1587,no,indonesia holding company,pt pupuk indonesia holding company
1588,yes,pt rajawali nusindo,pt rajawali nusantara indonesia
1589,yes,id food,pt rajawali nusantara indonesia
1590,no,pt rajawali citra televisi indonesia,pt rajawali nusantara indonesia
1591,no,pt nusantara laju bersama,pt rajawali nusantara indonesia
1592,yes,indonesia re,pt reasuransi indonesia utama persero
1593,yes,reasuransi indonesia utama,pt reasuransi indonesia utama persero
1594,no,pt indonesia utama abadi,pt reasuransi indonesia utama persero
1595,no,pt reasuransi nasional indonesia,pt reasuransi indonesia utama persero
1596,yes,shs,pt sang hyang seri
1597,yes,pt sang hyang seri cabang sidrap,pt sang hyang seri
1598,no,sanghyang heuleut,pt sang hyang seri
1599,no,pt sang byte indonesia,pt sang hyang seri
1600,yes,pt smi,pt sarana multi infrastruktur persero pt smi
1601,yes,sarana multi infrastruktur,pt sarana multi infrastruktur persero pt smi
1602,no,pt sarana multigriya finansial persero,pt sarana multi infrastruktur persero pt smi
1603,no,pt multi wahana kencana,pt sarana multi infrastruktur persero pt smi
1604,yes,sarinah,pt sarinah persero
1605,yes,pt sarinah,pt sarinah persero
1606,no,pt sariguna primatirta,pt sarinah persero
1607,no,pt sarimelati kencana,pt sarinah persero
1608,yes,pt superintending company of indonesia,pt sucofindo
1609,yes,sucofindo,pt sucofindo
1610,no,pt sucorinvest asset management,pt sucofindo
1611,no,pt sucor sekuritas,pt sucofindo
1612,yes,surveyor indonesia,pt surveyor indonesia persero
1613,yes,ptsi,pt surveyor indonesia persero
1614,no,pt semen indonesia persero,pt surveyor indonesia persero
1615,no,pt frasta survey indonesia,pt surveyor indonesia persero
1616,yes ,pt virama karya persero cabang jawa timur,pt virama karya persero
1617,yes ,virama karya cabang surabaya,pt virama karya persero
1618,yes ,virama karya,pt virama karya persero
1619,no,virama,pt virama karya persero
1620,no,pt karya,pt virama karya persero
1621,yes ,pt virama karya,pt virama karya persero
1622,yes ,pt waskita karya,pt waskita karya persero tbk
1623,yes ,pt waskita karya cabang bali,pt waskita karya persero tbk
1624,yes ,pt waskita beton precast tbk,pt waskita karya persero tbk
1625,yes ,pt waskita toll road,pt waskita karya persero tbk
1626,yes ,pt waskita karya realty,pt waskita karya persero tbk
1627,yes ,pt waskita karya energi,pt waskita karya persero tbk
1628,yes ,pt waskita ,pt waskita karya persero tbk
1629,no,pt karya,pt waskita karya persero tbk
1630,no,waskita,pt waskita karya persero tbk
1631,yes ,pt wijaya karya,pt wijaya karya persero tbk
1632,no,pt wijaya triutama plywood industri,pt wijaya karya persero tbk
1633,yes ,pt wika,pt wijaya karya persero tbk
1634,no,wika,pt wijaya karya persero tbk
1635,yes ,pt wijaya karya beton,pt wijaya karya persero tbk
1636,yes ,pt wijaya karya industri konstruksi,pt wijaya karya persero tbk
1637,yes ,pt wijaya karya bitumen,pt wijaya karya persero tbk
1638,yes ,pt wijaya karya bangunan gedung,pt wijaya karya persero tbk
1639,yes ,pt wijaya karya rekayasa konstruksi,pt wijaya karya persero tbk
1640,yes ,pt wijaya karya realty,pt wijaya karya persero tbk
1641,yes ,pt wijaya karya serang panimbang,pt wijaya karya persero tbk
1642,yes ,pt wika tirta jaya jatiluhur,pt wijaya karya persero tbk
1643,no,pt wijaya,pt wijaya karya persero tbk
1644,no,pt karya,pt wijaya karya persero tbk
1645,no,pt wijaya machinery perkasa,pt wijaya karya persero tbk
1646,yes ,pt yodya karya,pt yodya karya persero
1647,yes ,pt yodya karya sby,pt yodya karya persero
1648,yes ,pt yodya karya persero region i,pt yodya karya persero
1649,yes ,pt yodya karya kupang,pt yodya karya persero
1650,yes ,pt yodya,pt yodya karya persero
1651,no,karya,pt yodya karya persero
1652,no,pt karya,pt yodya karya persero
1653,no,yodya,pt yodya karya persero
1654,no,nindya,pt nindya karya
1655,yes ,pt nindya,pt nindya karya
1656,no,pt karya,pt nindya karya
1657,yes ,pt nindya karya wilayah iv,pt nindya karya
1658,no,pt surabaya,pt surabaya industrial estate rungkut
1659,no,pt industrial estate,pt surabaya industrial estate rungkut
1660,yes ,pt sier,pt surabaya industrial estate rungkut
1661,no,pt surabaya industrial,pt surabaya industrial estate rungkut
1662,no,pt kawasan industri,pt kawasan industri lampung
1663,no,pt industri ,pt kawasan industri lampung
1664,yes,pt kawasan industri lampung,pt kawasan industri lampung
1665,no,pt kawasan lampung,pt kawasan industri lampung
1666,no,pt pengembangan ,pt pengembangan armada niaga nasional persero
1667,no,pt pengmbangan niaga,pt pengembangan armada niaga nasional persero
1668,no,pt pengmbangan niaga nasional,pt pengembangan armada niaga nasional persero
1669,yes,pt pengembangan armada niaga nasional,pt pengembangan armada niaga nasional persero
1670,yes,pt pann,pt pengembangan armada niaga nasional persero
1671,no,pt survai,pt survai udara penas persero
1672,yes,pt survai udara penas,pt survai udara penas persero
1673,yes,pt aviasi pariwisata indonesia,pt survai udara penas persero
1674,no,survai udara,pt survai udara penas persero
1675,yes,pt kertas kraft aceh,pt kertas kraft aceh persero
1676,no,pt aceh,pt kertas kraft aceh persero
1677,no,pt kertas,pt kertas kraft aceh persero
1678,yes,pt kka,pt kertas kraft aceh persero
1679,no,kertas kraft,pt kertas kraft aceh persero
1680,yes,pt sarana multigriya finansial,pt sarana multigriya finansial persero
1681,no,pt sarana ,pt sarana multigriya finansial persero
1682,no,pt sarana finansial,pt sarana multigriya finansial persero
1683,yes,smfindonesia,pt sarana multigriya finansial persero
1684,yes,pt primissima ,pt primissima persero
1685,yes,primissima batik,pt primissima persero
1686,yes,pt dok dan perkapalan surabaya,pt dok dan perkapalan surabaya persero
1687,yes,pt dps,pt dok dan perkapalan surabaya persero
1688,no,pt perkapalan,pt dok dan perkapalan surabaya persero
1689,no,pt dok,pt dok dan perkapalan surabaya persero
1690,yes,pt industri kereta api,pt industri kereta api persero inka
1691,yes,pt inka,pt industri kereta api persero inka
1692,yes,inka,pt industri kereta api persero inka
1693,no,pt kereta api,pt industri kereta api persero inka
1694,no,pt industri,pt industri kereta api persero inka
0,yes,kementerian ppn bappenas,kementerian perencanaan pembangunan nasional ppn badan perencanaan pembangunan nasional bappenas
1,yes,bappenas,kementerian perencanaan pembangunan nasional ppn badan perencanaan pembangunan nasional bappenas
2,no,pt bank pembangunan daerah jawa barat dan banten tbk,kementerian perencanaan pembangunan nasional ppn badan perencanaan pembangunan nasional bappenas
3,no,politeknik pembangunan pertanian malang,kementerian perencanaan pembangunan nasional ppn badan perencanaan pembangunan nasional bappenas
4,yes,kemensos,kementerian sosial
5,yes,kemensos ri,kementerian sosial
6,no,badan penyelenggara jaminan sosial ketenagakerjaan,kementerian sosial
7,no,badan penyelenggara jaminan sosial kesehatan bpjs kesehatan,kementerian sosial
8,yes,badan nasional penanggulangan terorisme kabupaten bekasi ,badan nasional penanggulangan terorisme bnpt
9,yes,bnpt kota bogor,badan nasional penanggulangan terorisme bnpt
10,no,badan nasional penanggulangan bencana,badan nasional penanggulangan terorisme bnpt
11,no,badan nasional pengelola perbatasan,badan nasional penanggulangan terorisme bnpt
12,yes,bapeten,badan pengawas tenaga nuklir bapeten
13,yes,badan pengawas tenaga nuklir,badan pengawas tenaga nuklir bapeten
14,no,badan tenaga nuklir nasional,badan pengawas tenaga nuklir bapeten
15,no,badan tenaga atom internasional,badan pengawas tenaga nuklir bapeten
16,yes,lpp tvri,lembaga penyiaran publik tvri
17,yes,lembaga penyiaran publik,lembaga penyiaran publik tvri
18,no,komisi penyiaran indonesia,lembaga penyiaran publik tvri
19,no,penyiaran multimedia vokasi,lembaga penyiaran publik tvri
20,yes,lpsk ri,lembaga perlindungan saksi dan korban lpsk
21,yes,lembaga perlindungan saksi dan korban ri,lembaga perlindungan saksi dan korban lpsk
22,no,lembaga perlindungan konsumen swadaya masyarakat,lembaga perlindungan saksi dan korban lpsk
23,no,lembaga otoritas perlindungan data pribadi,lembaga perlindungan saksi dan korban lpsk
24,no,badan pengusahaan kawasan perdagangan bebas,badan pengusahaan kawasan perdagangan bebas  pelabuhan bebas sabang
25,no,pelabuhan bebas sabang,badan pengusahaan kawasan perdagangan bebas  pelabuhan bebas sabang
26,yes,bpks,badan pengusahaan kawasan perdagangan bebas  pelabuhan bebas sabang
27,yes,pemkab gorontalo,pemerintah kabupaten gorontalo
28,no,gorontalo,pemerintah kabupaten gorontalo
29,yes,pemerintah gorontalo,pemerintah kabupaten gorontalo
30,yes,pemkab batanghari,pemerintah kabupaten batanghari
31,no,batanghari,pemerintah kabupaten batanghari
32,yes,pemerintah batanghari,pemerintah kabupaten batanghari
33,yes,pemkab merangin,pemerintah kabupaten merangin
34,no,merangin,pemerintah kabupaten merangin
35,yes,pemerintah merangin,pemerintah kabupaten merangin
36,yes,pemkab sarolangun,pemerintah kabupaten sarolangun
37,no,sarolangun,pemerintah kabupaten sarolangun
38,yes,pemerintah sarolangun,pemerintah kabupaten sarolangun
39,yes,pemkaot jambi,pemerintah kota jambi
40,no,bone bolango,pemerintah kota jambi
41,yes,pemkab sungai penuh,pemerintah kota sungai penuh
42,no,sungai penuh,pemerintah kota sungai penuh
43,yes,pemerintah sungai penuh,pemerintah kota sungai penuh
44,yes,pemkab tasikmalaya,pemerintah kabupaten tasikmalaya
45,no,tasikmalaya,pemerintah kabupaten tasikmalaya
46,yes,pemerintah tasikmalaya,pemerintah kabupaten tasikmalaya
47,yes,pemkot cirebon,pemerintah kota cirebon
48,no,cirebon,pemerintah kota cirebon
49,yes,pemkab kudus,pemerintah kabupaten kudus
50,no,kudus,pemerintah kabupaten kudus
51,yes,pemerintah kudus,pemerintah kabupaten kudus
52,yes,pemkab pati,pemerintah kabupaten pati
53,no,pati,pemerintah kabupaten pati
54,yes,pemerintah pati,pemerintah kabupaten pati
55,yes,pemkab temanggung,pemerintah kabupaten temanggung
56,no,temanggung,pemerintah kabupaten temanggung
57,yes,pemerintah temanggung,pemerintah kabupaten temanggung
58,yes,pemkot magelang,pemerintah kota magelang
59,no,magelang,pemerintah kota magelang
60,yes,pemkot surakarta,pemerintah kota surakarta
61,no,surakarta,pemerintah kota surakarta
62,yes,pemerintah surakarta,pemerintah kota surakarta
63,yes,pemkot tegal,pemerintah kota tegal
64,no,tegal,pemerintah kota tegal
65,yes,pemkab nganjuk,pemerintah kabupaten nganjuk
66,no,nganjuk,pemerintah kabupaten nganjuk
67,yes,pemerintah nganjuk,pemerintah kabupaten nganjuk
68,yes,pemkot probolinggo,pemerintah kota probolinggo
69,no,probolinggo,pemerintah kota probolinggo
70,yes,pemkot surabaya,pemerintah kota surabaya
71,no,surabaya,pemerintah kota surabaya
72,yes,pemerintah surabaya,pemerintah kota surabaya
73,yes,pemkab sintang,pemerintah kabupaten sintang
74,no,sintang,pemerintah kabupaten sintang
75,yes,pemerintah sintang,pemerintah kabupaten sintang
76,no,pemkab aceh selatan,pemerintah kabupaten aceh tenggara
77,no,pemkab aceh barat daya,pemerintah kabupaten aceh tenggara
