instansi,status,reference
pt angkasa pura ii (persero),no,angkasa i
pt angkasa pura ii (persero),no,angkasa
pt angkasa pura ii (persero),yes,angkasa pura ii
pt angkasa pura ii (persero),yes,pt angkasa pura ii
pt angkasa pura ii (persero),yes,pt angkasa ii
pt angkasa pura ii (persero),yes,angkasa ii
pt asabri (persero),yes,asuransi sosial angkatan bersenjata republik indonesia
pt asabri (persero),yes,asuransi angkatan bersenjata
pt asabri (persero),yes,asuransi angkatan bersenjata indonesia
pt asabri (persero),no,asuransi bersenjata
pt asabri (persero),no,asuransi
pt asabri (persero),no,asuransi angkatan
pt asabri (persero),no,asuransi indonesia
pt asdp indonesia ferry (persero),yes,pt asdp ferry indonesia
pt asdp indonesia ferry (persero),yes,pt asdp
pt asdp indonesia ferry (persero),yes,asdp
pt asdp indonesia ferry (persero),no,ferry indonesia
pt asdp indonesia ferry (persero),yes,asdp indonesia ferry
pt asdp indonesia ferry (persero),no,ferry
pt asdp indonesia ferry (persero),yes,asdp indonesia
pt asdp indonesia ferry (persero),no,pt ferry
pt asdp indonesia ferry (persero),yes,pt ferry indonesia
pt asdp indonesia ferry (persero),yes,pt indonesia ferry
pt asdp indonesia ferry (persero),yes,pt asdp indonesia ferry
pt asuransi jiwasraya (persero),yes,pt asuransi jiwasraya
pt asuransi jiwasraya (persero),yes,asuransi jiwasraya
pt asuransi jiwasraya (persero),yes,jiwasraya
pt asuransi jiwasraya (persero),no,asuransi
pt asuransi jiwasraya (persero),yes,pt jiwasraya
pt asuransi jiwasraya (persero),no,asuransi jiwa
pt asuransi jiwasraya (persero),no,asuransi sraya
pt bahana pembinaan usaha indonesia (persero),yes,pt bahana pembinaan usaha indonesia
pt bahana pembinaan usaha indonesia (persero),yes,bahana pembinaan usaha indonesia
pt bahana pembinaan usaha indonesia (persero),no,bahana pembinaan
pt bahana pembinaan usaha indonesia (persero),no,bahana pembinaan indonesia
pt bahana pembinaan usaha indonesia (persero),yes,indonesia financial group (ifg)
pt bahana pembinaan usaha indonesia (persero),yes,indonesia financial group
pt bahana pembinaan usaha indonesia (persero),yes,ifg
pt bahana pembinaan usaha indonesia (persero),yes,pembinaan usaha indonesia
pt bahana pembinaan usaha indonesia (persero),no,pembinaan usaha
pt bahana pembinaan usaha indonesia (persero),no,usaha indonesia
pt bahana pembinaan usaha indonesia (persero),no,pembinaan indonesia
pt bahana pembinaan usaha indonesia (persero),no,bahana usaha
pt bahana pembinaan usaha indonesia (persero),no,bahana
"pt bank negara indonesia (persero), tbk. (bni)",yes,pt bni
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni
"pt bank negara indonesia (persero), tbk. (bni)",yes,bank negara indonesia
"pt bank negara indonesia (persero), tbk. (bni)",yes,bank bni
"pt bank negara indonesia (persero), tbk. (bni)",yes,bank nasional indonesia (bni 46)
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni 46
"pt bank negara indonesia (persero), tbk. (bni)",yes,bank bni cabang maros
"pt bank negara indonesia (persero), tbk. (bni)",yes,pt bank bni kantor cabang karawang
"pt bank negara indonesia (persero), tbk. (bni)",yes,pt bank bni
"pt bank negara indonesia (persero), tbk. (bni)",yes,direktur utama pt bni
"pt bank negara indonesia (persero), tbk. (bni)",yes,nasabah bni
"pt bank negara indonesia (persero), tbk. (bni)",yes,pt bni (persero) tbk
"pt bank negara indonesia (persero), tbk. (bni)",yes,debitur bni
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni life
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni life insurance
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni kantor wilayah 07
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni kantor wilayah 12
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni divisi solusi ritel
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni divisi pengelolaan jaringan
"pt bank negara indonesia (persero), tbk. (bni)",yes,bni cabang jakarta kramat
"pt bank negara indonesia (persero), tbk. (bni)",no,bank negara
"pt bank negara indonesia (persero), tbk. (bni)",no,bank indonesia
"pt bank tabungan negara (persero), tbk. (btn)",yes,pt bank tabungan negara
"pt bank tabungan negara (persero), tbk. (btn)",yes,bank tabungan negara
"pt bank tabungan negara (persero), tbk. (btn)",yes,pt btn
"pt bank tabungan negara (persero), tbk. (btn)",yes,btn
"pt bank tabungan negara (persero), tbk. (btn)",yes,bank btn
"pt bank tabungan negara (persero), tbk. (btn)",yes,rcm-5.1 btn makassar
"pt bank tabungan negara (persero), tbk. (btn)",yes,btn pluit
"pt bank tabungan negara (persero), tbk. (btn)",no,bank tabungan
"pt bank tabungan negara (persero), tbk. (btn)",no,bank negara
"pt bank tabungan negara (persero), tbk. (btn)",no,tabungan negara
pt barata indonesia (persero),yes,pt barata indonesia
pt barata indonesia (persero),yes,barata indonesia
pt barata indonesia (persero),yes,pt barata
pt barata indonesia (persero),yes,barata
pt berdikari (persero),yes,pt berdikari
pt berdikari (persero),yes,berdikari
pt berdikari (persero),yes,berdikari indonesia
pt berdikari (persero),yes,pt berdikari indonesia
pt bhanda ghara reksa (persero),yes,pt bhanda ghara reksa
pt bhanda ghara reksa (persero),yes,bgr
pt bhanda ghara reksa (persero),yes,pt bgr
pt bhanda ghara reksa (persero),yes,bhanda
pt bhanda ghara reksa (persero),yes,bgr logistics
pt bhanda ghara reksa (persero),yes,bgr logistik
pt bhanda ghara reksa (persero),yes,pt bgr logistik indonesia
pt bhanda ghara reksa (persero),no,logistik
pt bhanda ghara reksa (persero),no,logistik indonesia
pt bhanda ghara reksa (persero),no,pt logistik
pt bhanda ghara reksa (persero),no,pt logistik indonesia
pt bhanda ghara reksa (persero),yes,logistik bgr
pt bhanda ghara reksa (persero),yes,bgr indonesia
pt biro klasifikasi indonesia (persero),yes,pt biro klasifikasi indonesia
pt biro klasifikasi indonesia (persero),yes,biro klasifikasi indonesia
pt biro klasifikasi indonesia (persero),yes,bki
pt biro klasifikasi indonesia (persero),yes,biro klasifikasi
pt biro klasifikasi indonesia (persero),no,klarifikasi indonesia
pt biro klasifikasi indonesia (persero),yes,pt bki
pt biro klasifikasi indonesia (persero),no,biro indonesia
pt biro klasifikasi indonesia (persero),yes,pt biro klarifikasi
pt biro klasifikasi indonesia (persero),no,pt biro
pt biro klasifikasi indonesia (persero),no,pt klarifikasi
pt biro klasifikasi indonesia (persero),no,pt klarifikasi indonesia
pt brantas abipraya (persero),yes,pt brantas abipraya
pt brantas abipraya (persero),yes,pt brantas
pt brantas abipraya (persero),no,brantas
pt brantas abipraya (persero),no,abipraya
pt brantas abipraya (persero),yes,pt abipraya
pt dahana (persero),yes,pt dahana
pt dahana (persero),yes,dahana
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),yes,pt dana tabungan dan asuransi pegawai negeri / taspen
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),yes,pt taspen
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),yes,taspen
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),no,asuransi pegawai negeri
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),yes,pt taspen kantor pusat
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),yes,pt taspen kc bengkulu
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),yes,pt asuransi pegawai negeri
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),yes,pt dana tabungan
pt dana tabungan dan asuransi pegawai negeri / taspen (persero),no,dana tabungan
pt danareksa (persero),yes,danareksa
pt danareksa (persero),yes,pt danareksa
pt danareksa (persero),no,reksadana
pt danareksa (persero),no,pt reksadana
pt djakarta lloyd (persero),yes,pt djakarta lloyd
pt djakarta lloyd (persero),yes,djakarta lloyd
pt djakarta lloyd (persero),no,lloyd
"pt garuda indonesia (persero), tbk.",yes,pt garuda indonesia
"pt garuda indonesia (persero), tbk.",yes,garuda indonesia
"pt garuda indonesia (persero), tbk.",no,pt garuda
"pt garuda indonesia (persero), tbk.",no,garuda
pt dok dan perkapalan kodja bahari (persero),yes,pt dok dan perkapalan kodja bahari
pt dok dan perkapalan kodja bahari (persero),yes,kodja bahari
pt dok dan perkapalan kodja bahari (persero),yes,dok dan perkapalan kodja bahari
pt dok dan perkapalan kodja bahari (persero),no,dok dan perkapalan
pt dok dan perkapalan kodja bahari (persero),no,pt dok
pt dok dan perkapalan kodja bahari (persero),no,pt perkapalan
pt energi management indonesia (persero),yes,pt energi management indonesia
pt energi management indonesia (persero),yes,energi management indonesia
pt energi management indonesia (persero),yes,pt emi
pt energi management indonesia (persero),yes,emi
pt energi management indonesia (persero),no,energi management
pt energi management indonesia (persero),no,pt energi management
pt energi management indonesia (persero),no,energi
pt energi management indonesia (persero),no,management
pt geodipa energi,yes,pt geodipa
pt geodipa energi,yes,geodipa indonesia
pt geodipa energi,yes,geodipa energi
pt geodipa energi,yes,geo dipa energi
pt geodipa energi,yes,geo dipa
pt hutama karya (persero),yes,hutama karya
pt hutama karya (persero),yes,pt hutama karya
pt hutama karya (persero),no,hutama
pt hutama karya (persero),no,pt hutama
pt hutama karya (persero),yes,hutama karya indonesia
pt hutama karya (persero),no,hutama indonesia
pt hutama karya (persero),yes,pt hutama karya indonesia
pt hutama karya (persero),no,pt hutama indonesia
pt indra karya (persero),yes,pt indra karya
pt indra karya (persero),yes,indra karya
pt indra karya (persero),no,pt indra
pt indra karya (persero),no,karya indra
pt indra karya (persero),yes,indra karya indonesia
pt indra karya (persero),no,pt karya indra
pt indonesia asahan alumunium (persero) (inalum),yes,pt inalum
pt indonesia asahan alumunium (persero) (inalum),yes,inalum
pt indonesia asahan alumunium (persero) (inalum),no,pt aluminium indonesia
pt indonesia asahan alumunium (persero) (inalum),yes,pt indonesia asahan aluminium
pt indonesia asahan alumunium (persero) (inalum),no,pt indonesia aluminium
pt indonesia asahan alumunium (persero) (inalum),yes,indonesia asahan aluminium
pt indonesia asahan alumunium (persero) (inalum),no,indonesia aluminium
pt indonesia asahan alumunium (persero) (inalum),no,aluminium indonesia
pt indonesia asahan alumunium (persero) (inalum),no,aluminium asahan
pt indonesia asahan alumunium (persero) (inalum),yes,asahan aluminium indonesia
pt indah karya (persero),yes,pt indah karya
pt indah karya (persero),yes,indah karya
pt indah karya (persero),no,karya indah
pt indah karya (persero),no,pt karya indah
pt industri nuklir indonesia (persero),yes,pt industri nuklir indonesia
pt industri nuklir indonesia (persero),yes,pt inuki
pt industri nuklir indonesia (persero),yes,inuki
pt industri nuklir indonesia (persero),yes,industri nuklir indonesia
pt industri nuklir indonesia (persero),no,nuklir indonesia
pt industri nuklir indonesia (persero),yes,pt nuklir indonesia
pt industri nuklir indonesia (persero),no,industri nuklir
pt industri nuklir indonesia (persero),yes,pt industri nuklir
pt industri sandang nusantara (persero),yes,pt industri sandang nusantara
pt industri sandang nusantara (persero),yes,pt isn
pt industri sandang nusantara (persero),yes,isn
pt industri sandang nusantara (persero),yes,isn (industri sandang nusantara) - vendor garment
pt industri sandang nusantara (persero),yes,isn (industri sandang nusantara)
pt industri sandang nusantara (persero),no,industri sandang
pt industri sandang nusantara (persero),yes,pt industri sandang
pt industri sandang nusantara (persero),no,pt sandang
pt industri sandang nusantara (persero),no,sandang nusantara
pt industri telekomunikasi indonesia (persero),yes,pt industri telekomunikasi indonesia
pt industri telekomunikasi indonesia (persero),yes,pt inti
pt industri telekomunikasi indonesia (persero),yes,inti
pt industri telekomunikasi indonesia (persero),no,pt telkom
pt industri telekomunikasi indonesia (persero),no,pt telekomunikasi indonesia
pt industri telekomunikasi indonesia (persero),yes,pt industri telekomunikasi
pt industri telekomunikasi indonesia (persero),no,telekomunikasi indonesia
pt industri telekomunikasi indonesia (persero),no,industri telekomunikasi
pt istaka karya (persero),yes,pt istaka karya
pt istaka karya (persero),yes,istaka karya
pt istaka karya (persero),yes,pt istaka
pt istaka karya (persero),no,pt karya
pt istaka karya (persero),no,karya
pt. jakarta industrial estate pulogadung,yes,jakarta industrial estate pulogadung
pt. jakarta industrial estate pulogadung,yes,pt jiep
pt. jakarta industrial estate pulogadung,yes,jiep
pt. jakarta industrial estate pulogadung,no,jakarta industrial
pt. jakarta industrial estate pulogadung,yes,industrial estate pulogadung
pt. jakarta industrial estate pulogadung,yes,jiep ecogreen
"pt jasa marga (persero), tbk.",yes,pt jasa marga
"pt jasa marga (persero), tbk.",yes,jasa marga
"pt jasa marga (persero), tbk.",no,pt jasa
"pt jasa marga (persero), tbk.",no,pt marga
pt kawasan berikat nusantara (persero),yes,pt kawasan berikat nusantara
pt kawasan berikat nusantara (persero),yes,kawasan berikat nusantara
pt kawasan berikat nusantara (persero),yes,pt kbn
pt kawasan berikat nusantara (persero),no,kawasan berikat
pt kawasan berikat nusantara (persero),yes,pt kawasan berikat
pt kawasan berikat nusantara (persero),yes,berikat nusantara
pt kawasan berikat nusantara (persero),no,pt kawasan nusantara
pt kawasan berikat nusantara (persero),no,kawasan nusantara
pt kawasan industri wijayakusuma (persero),yes,pt kawasan industri wijayakusuma
pt kawasan industri wijayakusuma (persero),yes,pt kiw
pt kawasan industri wijayakusuma (persero),yes,kawasan industri wijayakusuma
pt kawasan industri wijayakusuma (persero),yes,kiw
pt kawasan industri wijayakusuma (persero),no,pt kawasan industri
pt kawasan industri wijayakusuma (persero),no,kawasan industri
pt kawasan industri wijayakusuma (persero),no,pt industri wijayakusuma
pt kawasan industri wijayakusuma (persero),no,pt wijayakusuma
"pt kimia farma (persero), tbk.",yes,pt kimia farma
"pt kimia farma (persero), tbk.",yes,kimia farma
"pt kimia farma (persero), tbk.",no,kimia
"pt kimia farma (persero), tbk.",no,farma
pt kliring berjangka indonesia (persero),yes,pt kliring berjangka indonesia
pt kliring berjangka indonesia (persero),yes,kliring berjangka indonesia
pt kliring berjangka indonesia (persero),yes,pt kbi
pt kliring berjangka indonesia (persero),yes,kbi
pt kliring berjangka indonesia (persero),no,pt kliring
pt kliring berjangka indonesia (persero),no,berjangka indonesia
pt pal indonesia (persero),yes,pt pal
pt pal indonesia (persero),yes,pal
pt pal indonesia (persero),yes,pt pal indonesia
pt pal indonesia (persero),yes,penataran angkatan laut
pt pal indonesia (persero),no,pali
pt pann pembiayaan maritim (persero),yes,pt pann pembiayaan maritim
pt pann pembiayaan maritim (persero),no,pann
pt pann pembiayaan maritim (persero),yes,pann maritim
pt pann pembiayaan maritim (persero),yes,pann pembiayaan
pt pann pembiayaan maritim (persero),yes,pt pembiayaan maritim
pt pann pembiayaan maritim (persero),no,maritim
pt pann pembiayaan maritim (persero),no,pan
pt pegadaian (persero),yes,pt pegadaian
pt pegadaian (persero),yes,pegadaian
pt pegadaian (persero),yes,kantor pegadaian
pt pegadaian (persero),yes,kantor pegadaian kanwil viii jakarta
pt pegadaian (persero),yes,pt pegadaian probolinggo
pt pegadaian (persero),yes,pt. pegadaian area samarinda
pt pegadaian (persero),yes,pt. pegadaian (sentra layanan ultra mikro loa)
pt pegadaian (persero),yes,pt. pegadaian kanwil iv balikpapan
pt pelabuhan indonesia (persero),yes,pt pelabuhan indonesia
pt pelabuhan indonesia (persero),yes,pelabuhan
pt pelabuhan indonesia (persero),yes,pelabuhan indonesia
pt pelabuhan indonesia (persero),no,kantor pelabuhan
pt pelayaran nasional indonesia (persero) (pelni),yes,pt pelayaran nasional indonesia
pt pelayaran nasional indonesia (persero) (pelni),yes,pelayaran nasional indonesia
pt pelayaran nasional indonesia (persero) (pelni),yes,pt pelni
pt pelayaran nasional indonesia (persero) (pelni),yes,pelni
pt pelayaran nasional indonesia (persero) (pelni),no,pt pelayaran
pt pelayaran nasional indonesia (persero) (pelni),no,pelayaran
pt pelayaran nasional indonesia (persero) (pelni),no,nasional indonesia
pt pelayaran nasional indonesia (persero) (pelni),no,pt nasional indonesia
pt pembangunan perumahan (persero),yes,pt pembangunan perumahan
pt pembangunan perumahan (persero),yes,pt pp
pt pembangunan perumahan (persero),yes,pp
pt pembangunan perumahan (persero),yes,pembangunan perumahan
pt pembangunan perumahan (persero),no,perumahan
pt pembangunan perumahan (persero),no,pembangunan
pt pengembangan pariwisata indonesia (persero),yes,pt pengembangan pariwisata indonesia
pt pengembangan pariwisata indonesia (persero),yes,indonesia tourism development coporation (itdc)
pt pengembangan pariwisata indonesia (persero),yes,indonesia tourism development coporation
pt pengembangan pariwisata indonesia (persero),yes,itdc
pt pengembangan pariwisata indonesia (persero),no,pariwisata
pt pengembangan pariwisata indonesia (persero),no,pariwisata indonesia
pt pengembangan pariwisata indonesia (persero),no,pengembangan pariwisata indonesia
pt pengembangan pariwisata indonesia (persero),no,pengembangan pariwisata
pt pengusahaan daerah industri pulau batam (persero),yes,pt pengusahaan daerah industri pulau batam
pt pengusahaan daerah industri pulau batam (persero),yes,pengusahaan daerah industri pulau batam
pt pengusahaan daerah industri pulau batam (persero),yes,persero batam
pt pengusahaan daerah industri pulau batam (persero),no,persero
pt pengusahaan daerah industri pulau batam (persero),no,batam
pt pengusahaan daerah industri pulau batam (persero),no,pengusahaan daerah industri
pt pengusahaan daerah industri pulau batam (persero),yes,pengusahaan daerah industri batam
pt penjaminan infrastruktur indonesia (persero),yes,pt penjaminan infrastruktur indonesia
pt penjaminan infrastruktur indonesia (persero),yes,penjaminan infrastruktur indonesia
pt penjaminan infrastruktur indonesia (persero),yes,pii
pt penjaminan infrastruktur indonesia (persero),yes,pt pii
pt penjaminan infrastruktur indonesia (persero),no,infrastruktur indonesia
pt penjaminan infrastruktur indonesia (persero),yes,penjaminan infrastruktur
pt penjaminan infrastruktur indonesia (persero),no,pt penjaminan
pt perkebunan nusantara iii,yes,perkebunan nusantara iii
pt perkebunan nusantara iii,yes,ptpn iii
pt perkebunan nusantara iii,yes,ptpn 3
pt perkebunan nusantara iii,yes,pt perkebunan nusantara
pt perkebunan nusantara iii,no,perkebunan indonesia
pt perkebunan nusantara iii,no,perkebunan
pt permodalan nasional madani (persero),yes,pt permodalan nasional madani
pt permodalan nasional madani (persero),yes,permodalan nasional madani
pt permodalan nasional madani (persero),yes,pt pnm
pt permodalan nasional madani (persero),yes,pnm
pt permodalan nasional madani (persero),no,penanaman modal
pt permodalan nasional madani (persero),no,permodalan
pt permodalan nasional madani (persero),yes,permodalan madani
pt permodalan nasional madani (persero),yes,permodalan nasional
pt pertamina (persero),yes,pt pertamina
pt pertamina (persero),yes,pertamina
pt pertamina (persero),yes,pt pertamina lubricants
pt pertamina (persero),yes,pt. pertamina patra niaga
pt pertamina (persero),yes,cfo pt pertamina
pt pertamina (persero),yes,pertamina geothermal
pt pertamina (persero),yes,pt kilang pertamina internasional
pt pertamina (persero),no,spbu
pt pertamina (persero),no,pt spbu
pt pertani (persero),yes,pt pertani
pt pertani (persero),yes,pertani
pt pertani (persero),no,petani
pt pertani (persero),no,pertanian
"pt perusahaan gas negara (persero), tbk.",yes,pt perusahaan gas negara
"pt perusahaan gas negara (persero), tbk.",yes,perusahaan gas negara
"pt perusahaan gas negara (persero), tbk.",yes,pt pertamina gas negara
"pt perusahaan gas negara (persero), tbk.",yes,pertamina gas negara
"pt perusahaan gas negara (persero), tbk.",yes,pt pgn
"pt perusahaan gas negara (persero), tbk.",yes,pgn
"pt perusahaan gas negara (persero), tbk.",no,migas
"pt perusahaan gas negara (persero), tbk.",no,skk migas
"pt perusahaan gas negara (persero), tbk.",no,perusahaan gas
"pt perusahaan gas negara (persero), tbk.",yes,pgn lng
pt perusahaan listrik negara (persero) (pln),yes,pt perusahaan listrik negara
pt perusahaan listrik negara (persero) (pln),yes,perusahaan listrik negara
pt perusahaan listrik negara (persero) (pln),yes,pt pln
pt perusahaan listrik negara (persero) (pln),yes,pln
pt perusahaan listrik negara (persero) (pln),yes,pln batubara
pt perusahaan listrik negara (persero) (pln),yes,pln bb
pt perusahaan listrik negara (persero) (pln),yes,pln batubara (pln bb)
pt perusahaan listrik negara (persero) (pln),no,perusahaan listrik
pt perusahaan listrik negara (persero) (pln),no,listrik negara
pt perusahaan listrik negara (persero) (pln),yes,pln persero
pt perusahaan listrik negara (persero) (pln),yes,pln uiw ntb
pt perusahaan listrik negara (persero) (pln),yes,pln uip nusra
pt perusahaan perdagangan indonesia (persero),yes,pt perusahaan perdagangan indonesia
pt perusahaan perdagangan indonesia (persero),yes,perusahaan perdagangan indonesia
pt perusahaan perdagangan indonesia (persero),yes,pt ppi
pt perusahaan perdagangan indonesia (persero),yes,ppi
pt perusahaan perdagangan indonesia (persero),yes,indonesia trading company
pt perusahaan perdagangan indonesia (persero),yes,itc
pt perusahaan perdagangan indonesia (persero),no,perdagangan indonesia
pt perusahaan perdagangan indonesia (persero),no,perusahaan perdagangan
pt perusahaan perdagangan indonesia (persero),no,trading company
pt perusahaan perdagangan indonesia (persero),no,indonesia trading
pt perusahaan perdagangan indonesia (persero),no,lppi
pt pos indonesia (persero),yes,pt pos indonesia
pt pos indonesia (persero),yes,pos indonesia
pt pos indonesia (persero),yes,kantor pos mamuju
pt pos indonesia (persero),yes,kantor pos
pt pos indonesia (persero),yes,pt. pos indonesia kc cirebon
pt pos indonesia (persero),no,posi
pt pos indonesia (persero),no,pt posi
pt pupuk indonesia holding company,yes,pt pupuk indonesia
pt pupuk indonesia holding company,yes,pupuk indonesia holding company
pt pupuk indonesia holding company,no,pt pupuk
pt pupuk indonesia holding company,no,pupuk
pt reasuransi indonesia utama (persero),yes,pt reasuransi indonesia utama
pt reasuransi indonesia utama (persero),yes,reasuransi indonesia utama
pt reasuransi indonesia utama (persero),yes,pt reindo
pt reasuransi indonesia utama (persero),yes,reindo
pt reasuransi indonesia utama (persero),yes,pt reasuransi internasional indonesia
pt reasuransi indonesia utama (persero),no,asuransi indonesia
pt reasuransi indonesia utama (persero),no,reasuransi
pt sarana multi infrastruktur (persero) (pt smi),yes,pt sarana multi infrastruktur
pt sarana multi infrastruktur (persero) (pt smi),yes,sarana multi infrastruktur
pt sarana multi infrastruktur (persero) (pt smi),yes,pt smi
pt sarana multi infrastruktur (persero) (pt smi),yes,smi
pt sarana multi infrastruktur (persero) (pt smi),no,pt sarana
pt sarana multi infrastruktur (persero) (pt smi),no,sarana infrastruktur
pt sarana multi infrastruktur (persero) (pt smi),no,infrastruktur
pt sarinah (persero),yes,pt sarinah
pt sarinah (persero),yes,sarinah
pt semen baturaja (persero),yes,pt semen baturaja
pt semen baturaja (persero),yes,semen baturaja
pt semen baturaja (persero),no,semen
pt semen baturaja (persero),no,baturaja
"pt semen indonesia (persero), tbk.",yes,pt semen indonesia
"pt semen indonesia (persero), tbk.",yes,semen indonesia
"pt semen indonesia (persero), tbk.",yes,pt sig
"pt semen indonesia (persero), tbk.",yes,sig
"pt semen indonesia (persero), tbk.",no,pt semen
"pt semen indonesia (persero), tbk.",no,semen
pt varuna tirta prakasya (persero),yes,pt varuna tirta prakasya
pt varuna tirta prakasya (persero),yes,varuna tirta prakasya
pt varuna tirta prakasya (persero),yes,pt vtp
pt varuna tirta prakasya (persero),yes,vtp
pt varuna tirta prakasya (persero),no,tirta
pt virama karya (persero),yes,pt virama karya
pt virama karya (persero),yes,pt virama
pt virama karya (persero),no,pt karya
pt virama karya (persero),no,karya
"pt waskita karya (persero), tbk.",yes,pt waskita karya
"pt waskita karya (persero), tbk.",yes,waskita karya
"pt waskita karya (persero), tbk.",yes,pt waskita
"pt waskita karya (persero), tbk.",no,pt karya
"pt waskita karya (persero), tbk.",no,karya
"pt wijaya karya (persero), tbk.",yes,pt wijaya karya
"pt wijaya karya (persero), tbk.",yes,wijaya karya
"pt wijaya karya (persero), tbk.",no,pt wijaya
"pt wijaya karya (persero), tbk.",no,wijaya
"pt wijaya karya (persero), tbk.",no,karya
pt yodya karya (persero),yes,pt yodya karya
pt yodya karya (persero),yes,yodya karya
pt yodya karya (persero),yes,pt yodya
pt yodya karya (persero),no,pt karya
pt yodya karya (persero),no,karya
perum perikanan indonesia,yes,perum perikanan
perum perikanan indonesia,yes,perumperindo
perum perikanan indonesia,no,perikanan indonesia
perum perikanan indonesia,no,perum indonesia
pt nindya karya (persero),yes,pt nindya karya
pt nindya karya (persero),yes,pt nindya
pt nindya karya (persero),no,pt karya
pt nindya karya (persero),no,karya
pt nindya karya (persero),no,nindya
pt surabaya industrial estate rungkut,yes,surabaya industrial estate rungkut
pt surabaya industrial estate rungkut,yes,surabaya industrial estate
pt surabaya industrial estate rungkut,yes,industrial estate rungkut
pt surabaya industrial estate rungkut,no,industrial estate
pt surabaya industrial estate rungkut,yes,pt sier
pt surabaya industrial estate rungkut,yes,sier
pt surabaya industrial estate rungkut,yes,estate rungkut
pt kawasan industri lampung,yes,kawasan industri lampung
pt kawasan industri lampung,yes,kil
pt kawasan industri lampung,no,industri lampung
pt kawasan industri lampung,no,kawasan industri
pt kawasan industri lampung,no,kawasan lampung
pt pengembangan armada niaga nasional (persero),yes,pt pengembangan armada niaga nasional
pt pengembangan armada niaga nasional (persero),yes,pengembangan armada niaga nasional
pt pengembangan armada niaga nasional (persero),yes,pt pann
pt pengembangan armada niaga nasional (persero),yes,pann
pt pengembangan armada niaga nasional (persero),no,pengembangan nasional
pt pengembangan armada niaga nasional (persero),no,armada nasional
pt pengembangan armada niaga nasional (persero),yes,pengembangan armada niaga
pt pengembangan armada niaga nasional (persero),yes,pengembangan armada nasional
pt iglas (persero),yes,pt iglas
pt iglas (persero),yes,iglas
pt kertas kraft aceh (persero),yes,pt kertas kraft aceh
pt kertas kraft aceh (persero),yes,kertas kraft aceh
pt kertas kraft aceh (persero),no,pt kertas kraft
pt kertas kraft aceh (persero),yes,pt kka
pt kertas kraft aceh (persero),yes,kka
pt sarana multigriya finansial (persero),yes,pt sarana multigriya finansial
pt sarana multigriya finansial (persero),yes,sarana multigriya finansial
pt sarana multigriya finansial (persero),yes,pt smf
pt sarana multigriya finansial (persero),yes,smf
pt sarana multigriya finansial (persero),yes,pt sarana multigriya
pt sarana multigriya finansial (persero),no,sarana finansial
pt sarana multigriya finansial (persero),no,finansial
pt sarana multigriya finansial (persero),yes,sarana multigriya
pt sarana multigriya finansial (persero),yes,multigriya finansial
"pt indofarma (persero), tbk.",yes,pt indofarma
"pt indofarma (persero), tbk.",yes,pt indonesia farma
"pt indofarma (persero), tbk.",yes,indofarma
"pt indofarma (persero), tbk.",yes,indonesia farma
"pt indofarma (persero), tbk.",no,pt farma
"pt indofarma (persero), tbk.",no,farma
pt primissima (persero),yes,pt primissima
pt primissima (persero),yes,primissima
pt industri kereta api (persero) (inka),yes,pt industri kereta api
pt industri kereta api (persero) (inka),yes,industri kereta api
pt industri kereta api (persero) (inka),no,pt kereta api
pt industri kereta api (persero) (inka),no,kereta api
pt industri kereta api (persero) (inka),yes,inka
pt industri kereta api (persero) (inka),yes,pt inka
pt industri kereta api (persero) (inka),no,industri kereta
pt industri kereta api (persero) (inka),no,industri api
pt semen kupang (persero),yes,pt semen kupang
pt semen kupang (persero),yes,semen kupang
pt semen kupang (persero),no,semen
pt semen kupang (persero),no,kupang
pt kawasan industri makasar (persero),yes,pt kawasan industri makassar
pt kawasan industri makasar (persero),yes,kawasan industri makassar
pt kawasan industri makasar (persero),yes,pt kima
pt kawasan industri makasar (persero),yes,kima
pt kawasan industri makasar (persero),no,pt kawasan industri
pt kawasan industri makasar (persero),no,kawasan industri
pt kawasan industri makasar (persero),no,industri makassar
pt kawasan industri medan (persero),no,kawasan industri medan
pt kawasan industri medan (persero),no,pt kawasan industri
pt kawasan industri medan (persero),no,kawasan industri
pt kawasan industri medan (persero),no,industri medan
perum lembaga penyelenggara pelayanan navigasi penerbangan indonesia (airnav),yes,perum lembaga penyelenggara pelayanan navigasi penerbangan indonesia
perum lembaga penyelenggara pelayanan navigasi penerbangan indonesia (airnav),yes,perum lppnpi
perum lembaga penyelenggara pelayanan navigasi penerbangan indonesia (airnav),yes,airnav indonesia
